Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2020,54.7,48.3,30.0,24.8,91.4,79.2,99.9,54.7,61.6,81.0,66.0,10.0,10.0
Australia,2020,82.6,82.8,86.1,89.3,63.0,61.6,91.8,87.8,84.0,86.2,88.2,80.0,90.0
"Bangladesh ",2020,56.4,41.0,36.1,26.6,72.7,94.3,76.8,52.3,68.4,70.0,63.6,45.0,30.0
Bhutan,2020,62.1,69.9,46.4,51.2,82.9,71.1,74.8,68.2,79.4,71.6,79.4,20.0,30.0
Brunei Darussalam,2020,66.6,69.8,56.8,49.6,89.8,61.5,20.0,84.1,90.5,77.1,85.0,65.0,50.0
Burma,2020,54.0,32.5,14.3,31.5,86.6,87.5,84.6,53.1,59.9,77.5,70.8,30.0,20.0
Cambodia,2020,57.3,43.1,28.1,14.8,89.4,83.9,94.8,31.2,62.5,74.8,65.4,50.0,50.0
China,2020,59.5,60.9,76.3,46.0,70.4,67.9,67.5,76.8,64.4,71.1,72.4,20.0,20.0
Fiji,2020,63.4,69.9,42.6,45.6,80.5,68.9,84.2,62.6,76.2,72.5,52.8,55.0,50.0
Hong Kong,2020,89.1,93.6,76.8,84.7,93.0,90.3,99.9,96.2,89.1,80.7,95.0,80.0,90.0
India,2020,56.5,63.0,64.1,47.2,79.4,77.9,13.1,65.6,41.2,73.0,73.4,40.0,40.0
Indonesia,2020,67.2,59.8,56.2,37.2,83.4,91.7,90.2,70.0,49.2,78.4,80.8,50.0,60.0
Japan,2020,73.3,86.6,71.4,80.5,68.3,55.8,62.0,81.4,78.7,84.4,80.0,70.0,60.0
Kazakhstan,2020,69.6,61.3,62.1,40.9,92.3,85.5,84.1,74.6,86.0,68.1,80.2,50.0,50.0
Kiribati,2020,45.2,47.5,34.2,24.3,72.4,0.0,99.0,40.6,62.9,82.2,23.8,25.0,30.0
"Kyrgyz Republic ",2020,62.9,53.6,31.3,32.0,94.1,58.5,66.7,73.6,79.6,76.4,79.2,60.0,50.0
Laos,2020,55.5,42.5,37.3,32.0,87.0,86.6,53.3,54.3,58.6,76.8,82.0,35.0,20.0
Macau,2020,70.3,60.0,60.0,33.5,75.0,89.8,99.9,60.0,50.0,70.0,90.0,85.0,70.0
"Malaysia ",2020,74.7,86.5,74.6,49.4,85.7,84.6,80.2,87.8,74.5,81.6,82.0,60.0,50.0
Maldives,2020,56.5,48.5,31.7,39.2,95.8,67.9,42.9,78.7,70.6,77.0,61.0,35.0,30.0
Micronesia,2020,52.0,30.1,26.5,22.3,92.9,0.0,99.2,56.9,78.2,82.2,70.8,35.0,30.0
Mongolia,2020,55.9,50.3,23.0,36.9,87.4,66.6,9.3,63.6,75.7,74.2,74.0,50.0,60.0
Nepal,2020,54.2,40.7,32.0,31.5,83.4,77.9,98.1,61.6,53.7,71.2,60.4,10.0,30.0
New Zealand,2020,84.1,93.3,79.1,93.9,71.0,57.8,98.3,90.4,86.7,87.0,92.2,80.0,80.0
North Korea,2020,4.2,20.1,5.0,15.1,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
"Pakistan ",2020,54.8,48.3,43.2,29.7,80.4,86.8,40.4,54.9,41.3,72.5,64.8,55.0,40.0
Papua New Guinea,2020,58.4,54.9,48.4,29.7,71.5,86.4,76.4,58.4,69.6,70.7,79.8,25.0,30.0
Philippines,2020,64.5,54.6,34.2,38.7,76.7,87.9,96.3,59.5,57.4,66.9,81.6,60.0,60.0
Samoa,2020,62.1,60.5,31.7,31.5,79.6,62.5,94.6,76.6,78.8,79.5,64.6,55.0,30.0
Singapore,2020,89.4,96.8,92.9,92.4,90.3,91.1,80.0,92.8,90.9,85.6,94.8,85.0,80.0
Solomon Islands,2020,52.9,54.6,53.7,33.5,65.6,34.2,76.6,67.7,72.0,84.3,48.0,15.0,30.0
South Korea,2020,74.0,82.5,61.0,67.5,63.9,67.7,96.7,90.5,56.2,82.1,80.0,70.0,70.0
Sri Lanka,2020,57.4,47.7,39.2,34.7,84.8,88.9,39.3,76.5,58.6,71.1,67.6,40.0,40.0
Taiwan,2020,77.1,86.9,70.1,68.9,75.0,90.5,91.0,93.9,60.3,82.7,86.0,60.0,60.0
Tajikistan,2020,52.2,49.1,50.0,32.0,91.8,62.3,26.0,65.9,47.7,71.0,75.0,25.0,30.0
"Thailand ",2020,69.4,59.5,48.0,43.4,80.7,85.9,96.4,83.0,63.7,74.0,83.0,55.0,60.0
Timor-Leste,2020,45.9,45.2,12.6,32.5,96.3,5.3,19.9,64.0,58.9,76.5,75.0,45.0,20.0
Tonga,2020,58.8,60.9,26.5,44.2,85.2,42.8,95.2,75.0,69.8,71.4,74.0,40.0,20.0
Turkmenistan,2020,46.5,20.1,20.0,21.4,95.9,93.1,94.5,30.0,20.0,68.7,74.2,10.0,10.0
Uzbekistan,2020,57.2,59.1,34.2,28.2,91.6,74.7,98.9,72.6,59.9,59.9,67.6,20.0,20.0
Vanuatu,2020,60.7,68.3,36.1,37.4,97.1,61.1,78.4,51.8,54.6,74.6,63.4,65.0,40.0
Vietnam,2020,58.8,52.6,40.1,33.8,79.5,75.9,58.0,65.6,62.5,68.2,79.6,40.0,50.0
