Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Argentina,2020,53.1,50.5,47.0,49.7,69.6,50.7,24.7,60.2,46.5,53.7,69.2,55.0,60.0
Barbados,2020,61.4,56.6,36.1,44.0,73.6,69.2,63.1,69.4,60.0,77.9,56.6,70.0,60.0
Belize,2020,57.4,44.4,46.4,33.5,79.5,66.3,53.9,60.9,54.3,80.4,64.2,55.0,50.0
Bolivia,2020,42.8,20.1,11.2,23.1,86.3,54.2,14.2,58.3,52.9,69.9,67.8,15.0,40.0
Brazil,2020,53.7,57.3,46.7,45.6,70.4,54.6,4.6,60.5,49.5,77.2,67.8,60.0,50.0
Canada,2020,78.2,87.7,72.7,90.3,76.5,50.9,83.3,81.7,72.0,76.0,87.0,80.0,80.0
Chile,2020,76.8,69.9,61.1,73.4,76.4,80.8,90.5,75.0,64.7,85.2,89.0,85.0,70.0
Colombia,2020,69.2,61.1,32.8,46.1,70.4,77.0,85.5,71.3,78.0,77.5,81.2,80.0,70.0
"Costa Rica ",2020,65.8,66.7,54.4,57.2,78.9,88.4,39.7,66.5,55.0,81.2,81.4,70.0,50.0
Cuba,2020,26.9,20.1,10.0,38.7,49.5,0.0,14.8,20.0,20.0,64.1,65.6,10.0,10.0
Dominica,2020,60.8,59.8,62.6,51.2,70.5,16.0,86.2,70.4,60.7,83.5,68.4,70.0,30.0
Dominican Republic,2020,60.9,55.8,18.2,31.2,84.5,90.5,82.4,50.3,57.5,73.5,76.6,70.0,40.0
Ecuador,2020,51.3,40.4,20.7,33.4,77.5,57.9,62.3,53.8,48.0,81.0,66.0,35.0,40.0
"El Salvador ",2020,61.6,41.6,30.1,31.6,77.8,82.8,80.0,53.6,52.3,78.6,80.8,70.0,60.0
"Guatemala ",2020,64.0,45.5,32.2,29.6,79.2,95.6,95.7,62.6,48.4,77.4,82.2,70.0,50.0
Guyana,2020,56.2,53.6,42.6,34.1,66.0,64.4,58.6,58.9,62.1,82.5,66.8,55.0,30.0
Haiti,2020,52.3,16.4,23.3,22.3,80.2,89.4,96.3,33.6,62.3,61.5,67.0,45.0,30.0
"Honduras ",2020,61.1,48.6,34.2,28.6,82.3,78.2,96.7,56.7,31.5,72.2,79.4,65.0,60.0
"Jamaica ",2020,68.5,62.1,50.5,46.8,80.0,74.8,80.2,77.7,74.0,77.7,68.4,80.0,50.0
Mexico,2020,66.0,58.3,34.7,36.7,76.1,79.3,87.5,67.0,58.4,70.9,87.6,75.0,60.0
"Nicaragua ",2020,57.2,33.5,19.5,24.3,76.3,77.5,87.2,55.1,55.5,71.5,75.4,60.0,50.0
"Panama ",2020,67.2,58.8,30.0,37.2,85.3,85.7,91.2,70.8,43.3,79.4,79.2,75.0,70.0
"Paraguay ",2020,63.0,44.7,26.4,29.6,96.1,88.6,98.0,60.9,29.0,72.5,75.4,75.0,60.0
Peru,2020,67.9,54.9,30.6,33.5,80.8,86.4,89.0,67.1,62.9,86.3,88.4,75.0,60.0
Saint Lucia,2020,68.2,69.8,62.6,41.8,76.9,80.6,83.8,76.7,66.4,82.0,73.2,65.0,40.0
Saint Vincent and the Grenadines,2020,66.8,50.5,62.6,46.1,72.4,73.7,89.0,75.8,73.3,80.8,67.2,70.0,40.0
Suriname,2020,49.5,45.6,19.5,36.9,70.5,74.8,10.3,48.2,71.9,76.1,69.8,40.0,30.0
The Bahamas,2020,64.5,54.9,46.4,46.0,96.8,87.4,69.2,69.0,70.0,76.3,47.8,50.0,60.0
Trinidad and Tobago,2020,58.3,56.6,42.1,37.4,82.6,66.5,15.9,67.3,76.0,77.4,67.8,60.0,50.0
United States,2020,76.6,81.8,83.7,77.2,74.6,56.5,54.3,83.3,87.9,75.5,79.8,85.0,80.0
"Uruguay ",2020,69.1,72.0,59.8,73.5,75.2,66.5,72.3,73.6,71.0,72.7,77.4,85.0,30.0
"Venezuela ",2020,25.2,10.1,12.6,14.6,72.8,66.3,0.0,30.8,27.7,0.0,58.0,0.0,10.0
Argentina,2019,52.2,47.8,44.5,33.5,69.3,49.5,33.0,56.4,46.9,60.2,70.0,55.0,60.0
Barbados,2019,64.7,52.9,59.9,53.8,70.1,65.0,79.5,69.8,59.9,78.3,56.6,70.0,60.0
Belize,2019,55.4,41.7,46.9,27.2,79.9,65.9,39.1,61.8,54.8,78.7,64.0,55.0,50.0
Bolivia,2019,42.3,20.5,12.3,19.7,82.4,49.3,17.6,58.8,52.9,68.8,70.4,15.0,40.0
Brazil,2019,51.9,57.3,51.7,28.1,70.5,55.2,5.9,57.9,51.9,75.5,69.0,50.0,50.0
Canada,2019,77.7,87.0,69.4,84.6,76.8,51.3,83.1,81.9,73.7,77.2,86.8,80.0,80.0
Chile,2019,75.4,68.7,56.3,62.3,77.3,81.0,89.0,76.6,65.0,84.5,88.8,85.0,70.0
Colombia,2019,67.3,59.2,34.3,33.5,74.3,75.0,79.2,71.4,78.5,75.6,76.0,80.0,70.0
"Costa Rica ",2019,65.3,58.3,54.0,54.5,79.2,88.4,42.5,67.2,55.2,83.2,81.4,70.0,50.0
Cuba,2019,27.8,31.6,10.0,37.7,48.8,0.0,15.6,20.0,20.0,65.6,64.0,10.0,10.0
Dominica,2019,63.6,49.2,63.8,54.5,72.1,53.5,84.7,70.7,60.4,85.7,68.2,70.0,30.0
Dominican Republic,2019,61.0,50.6,18.1,23.2,84.6,90.3,89.9,51.9,57.6,79.7,75.8,70.0,40.0
Ecuador,2019,46.9,35.9,20.2,25.3,77.0,55.5,32.1,54.1,48.2,73.5,66.4,35.0,40.0
"El Salvador ",2019,61.8,37.6,29.1,23.4,78.1,86.3,81.9,57.2,53.1,79.0,81.4,75.0,60.0
"Guatemala ",2019,62.6,40.3,32.3,26.4,79.2,95.6,96.2,53.6,48.7,77.0,82.2,70.0,50.0
Guyana,2019,56.8,41.7,42.9,33.2,67.0,69.4,77.6,59.3,62.0,76.9,66.8,55.0,30.0
Haiti,2019,52.7,10.4,25.3,20.3,79.9,88.3,95.9,36.2,62.6,66.5,72.0,45.0,30.0
"Honduras ",2019,60.2,43.4,31.0,25.3,82.8,78.2,95.9,56.9,32.0,73.0,79.4,65.0,60.0
"Jamaica ",2019,68.6,60.7,49.2,45.0,80.2,76.0,80.0,78.0,73.6,82.6,68.4,80.0,50.0
Mexico,2019,64.7,59.1,34.9,26.3,75.8,78.2,83.2,67.8,58.6,75.9,81.4,75.0,60.0
"Nicaragua ",2019,57.7,33.4,18.7,20.3,76.9,79.1,93.9,56.0,55.8,72.7,76.0,60.0,50.0
"Panama ",2019,67.2,60.4,30.1,34.1,85.0,85.3,91.3,73.6,43.4,79.4,79.2,75.0,70.0
"Paraguay ",2019,61.8,39.5,30.0,25.5,96.3,78.9,96.3,61.5,29.2,72.8,76.6,75.0,60.0
Peru,2019,67.8,56.1,34.0,31.8,80.6,86.1,88.5,67.8,63.5,83.9,86.4,75.0,60.0
Saint Lucia,2019,68.7,65.9,63.8,50.3,76.2,79.3,81.3,76.3,69.2,83.9,73.2,65.0,40.0
Saint Vincent and the Grenadines,2019,65.8,36.5,63.8,50.5,71.2,74.3,85.0,76.5,73.5,82.2,66.6,70.0,40.0
Suriname,2019,48.1,49.1,22.2,35.5,70.9,77.2,9.6,48.3,73.5,56.0,64.6,40.0,30.0
The Bahamas,2019,62.9,42.2,46.9,43.7,97.3,86.8,65.7,68.5,67.5,78.1,47.8,50.0,60.0
Trinidad and Tobago,2019,57.0,52.3,40.6,32.9,82.3,61.9,16.6,67.8,75.6,75.1,68.4,60.0,50.0
United States,2019,76.8,79.3,78.6,77.4,75.1,57.1,53.1,83.8,89.4,76.6,86.6,85.0,80.0
"Uruguay ",2019,68.6,68.3,58.9,69.2,77.2,67.5,69.9,74.3,71.9,72.9,78.6,85.0,30.0
"Venezuela ",2019,25.9,7.6,13.1,7.9,74.7,58.1,17.6,33.9,28.0,0.0,60.0,0.0,10.0
Argentina,2018,52.3,40.8,44.5,32.6,65.7,55.6,52.6,56.2,43.3,51.3,70.3,55.0,60.0
Barbados,2018,57.0,51.4,54.4,53.8,74.0,39.3,0.0,70.5,63.2,85.0,62.2,70.0,60.0
Belize,2018,57.1,42.1,53.5,34.7,80.0,65.5,50.0,62.9,48.7,78.3,64.9,55.0,50.0
Bolivia,2018,44.1,19.0,11.4,23.1,85.7,46.5,46.8,59.2,49.2,67.5,75.5,5.0,40.0
Brazil,2018,51.4,55.8,55.5,31.4,70.6,50.7,7.7,58.6,46.8,71.4,68.5,50.0,50.0
